rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_with_next_rental_in_minutes
528901,364310,mobile,ended,12.0,,,
529269,361156,mobile,ended,0.0,,,
529438,265546,mobile,ended,15.0,,,
529753,256932,mobile,ended,-761.0,,,
530202,361564,mobile,ended,21.0,,,120.0
530441,283806,mobile,ended,-117.0,,,
530803,373677,mobile,ended,-2.0,,,
531213,221181,mobile,ended,1357.0,,,
531394,320834,connect,ended,7.0,,,
531518,391618,connect,ended,3.0,,,60.0
531713,371159,connect,ended,-125.0,,,
531991,389441,mobile,ended,35.0,,,
533364,344091,mobile,ended,31.0,536325.0,180.0,
533534,385666,mobile,ended,-159.0,,,
533839,180535,mobile,ended,32.0,,,
533945,353270,mobile,ended,130.0,,,150.0
533968,378850,mobile,ended,-25.0,,,
534242,288611,mobile,ended,12.0,,,60.0
534298,384479,mobile,ended,14.0,,,
534448,364160,connect,ended,-94.0,,,
534923,399535,mobile,ended,224.0,,,
534953,389348,mobile,ended,-6.0,,,
535035,175071,mobile,ended,57.0,,,
535066,370485,mobile,ended,628.0,,,
535320,290109,mobile,ended,661.0,,,
535330,311376,mobile,ended,113.0,,,
535386,405490,mobile,ended,69.0,,,
535519,353425,connect,ended,-166.0,533413.0,0.0,
535750,160062,mobile,ended,-26.0,,,
535870,308073,connect,ended,-37.0,,,
535903,375307,mobile,ended,67.0,,,720.0
536163,336027,mobile,ended,19.0,,,
536169,392718,mobile,ended,-2.0,,,
536207,407820,mobile,ended,18.0,,,
536208,366199,connect,ended,21.0,,,
536470,323095,mobile,ended,-477.0,,,
536616,399464,mobile,ended,74.0,,,
